target,R,true_gamma,n_subjects,power,null_fpr
beta,0.4,0.1,100,0.275,0.075
beta,0.4,0.1,150,0.34,0.055
beta,0.4,0.2,100,0.765,0.075
beta,0.4,0.2,150,0.91,0.07
beta,0.4,0.35,100,0.995,0.08
beta,0.4,0.35,150,1.0,0.04
