scenario,n_datasets,n_subjects,true_gamma_setting,mean_recov_r_alpha_pos,sd_recov_r_alpha_pos,mean_est_gamma_alpha_pos,sd_est_gamma_alpha_pos,true_gamma_alpha_pos,gamma_bias_alpha_pos,detect_rate_gamma_alpha_pos,ci_coverage_gamma_alpha_pos,mean_recov_r_alpha_neg,sd_recov_r_alpha_neg,mean_est_gamma_alpha_neg,sd_est_gamma_alpha_neg,true_gamma_alpha_neg,gamma_bias_alpha_neg,detect_rate_gamma_alpha_neg,ci_coverage_gamma_alpha_neg,mean_recov_r_beta,sd_recov_r_beta,mean_est_gamma_beta,sd_est_gamma_beta,true_gamma_beta,gamma_bias_beta,detect_rate_gamma_beta,ci_coverage_gamma_beta,target_recovered_as_largest_gamma_rate
alpha_neg,300,75,0.1,0.7846302315776278,0.06582589719442694,-0.0015162265599603746,0.07682894989975327,0.0,-0.0015162265599603746,0.10333333333333333,0.8966666666666666,0.7997973744504169,0.04890305114302811,0.08930987331077066,0.07836873414395283,0.1,-0.010690126689229348,0.32666666666666666,0.8866666666666667,0.9314443919186711,0.017908223927658624,0.0018872264312642594,0.054582392633792304,0.0,0.0018872264312642594,0.08,0.92,0.6066666666666667
alpha_pos,300,75,0.1,0.7909481719340242,0.05089359111857103,0.09641406787983979,0.08189598263777505,0.1,-0.003585932120160215,0.37333333333333335,0.8566666666666667,0.7936468463443004,0.05093503457764375,-0.003346838053262984,0.06844561105585995,0.0,-0.003346838053262984,0.08333333333333333,0.9166666666666666,0.9314118384727507,0.0187638034343864,-0.0024935273313948076,0.053430703524896116,0.0,-0.0024935273313948076,0.07333333333333333,0.9266666666666666,0.6366666666666667
beta,300,75,0.1,0.7864556021413148,0.07147328712267108,0.0013371444682371274,0.0802612025395973,0.0,0.0013371444682371274,0.12666666666666668,0.8733333333333333,0.7944617807787482,0.04883336113149829,0.003118742669827396,0.07572134559650649,0.0,0.003118742669827396,0.12,0.88,0.9327234013346383,0.020122300330224267,0.08311631770625975,0.058120471379077304,0.1,-0.01688368229374025,0.3933333333333333,0.9033333333333333,0.5233333333333333
null,300,75,0.0,0.7881327208898757,0.05287293484213051,-0.004757437392340335,0.08935631116681153,0.0,-0.004757437392340335,0.17,0.83,0.7903550843790506,0.05446082875042645,-0.0018418688493529655,0.07792348571106006,0.0,-0.0018418688493529655,0.12,0.88,0.9317429235934727,0.01884671524129525,-0.002138289348304605,0.05284121685762984,0.0,-0.002138289348304605,0.06,0.94,
