source_file,output_index,output_file,original_width_px,original_height_px,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px,output_width_px,output_height_px,dpi,output_format,pre_match_mean_luminance_0_255,pre_match_median_luminance_0_255,matching_metric_used,pre_match_luminance_used_for_matching_0_255,target_luminance_0_255,full_brightness_multiplier_not_used,unclamped_partial_multiplier,brightness_multiplier_applied,brightness_multiplier_was_clamped,correction_strength,min_brightness_multiplier,max_brightness_multiplier,contrast_multiplier,post_match_mean_luminance_0_255,post_match_median_luminance_0_255,target_Lstar_approx
pizza22.jpg,204,bandit_204.jpg,1202,1730,0,464,1202,1265,3000,2000,300,JPEG,122.999,120.497,median,120.497,97.132,0.806093,0.883656,0.883656,False,0.6,0.85,1.2,1.0,108.188,105.957,68.088
pizza24.jpg,205,bandit_205.jpg,3648,2736,0,152,3648,2584,3000,2000,300,JPEG,159.472,151.593,median,151.593,97.132,0.640741,0.784445,0.85,True,0.6,0.85,1.2,1.0,135.044,128.349,68.088
pizza29.jpg,206,bandit_206.jpg,1600,1200,0,66,1600,1133,3000,2000,300,JPEG,114.334,115.286,median,115.286,97.132,0.84253,0.905518,0.905518,False,0.6,0.85,1.2,1.0,103.046,103.894,68.088
pizza30.jpg,207,bandit_207.jpg,3072,2304,0,128,3072,2176,3000,2000,300,JPEG,102.836,98.555,median,98.555,97.132,0.985561,0.991337,0.991337,False,0.6,0.85,1.2,1.0,101.382,97.358,68.088
pizza31.jpg,208,bandit_208.jpg,1274,717,99,0,1175,717,3000,2000,300,JPEG,145.179,154.648,median,154.648,97.132,0.628083,0.77685,0.85,True,0.6,0.85,1.2,1.0,122.927,130.968,68.088
pizza32.jpg,209,bandit_209.jpg,1260,872,0,16,1260,856,3000,2000,300,JPEG,126.576,128.554,median,128.554,97.132,0.755575,0.853345,0.853345,False,0.6,0.85,1.2,1.0,107.518,109.198,68.088
pizza36.jpg,210,bandit_210.jpg,2840,1895,0,1,2840,1894,3000,2000,300,JPEG,93.192,82.913,median,82.913,97.132,1.171499,1.102899,1.102899,False,0.6,0.85,1.2,1.0,102.305,90.882,68.088
pizza38.jpg,211,bandit_211.jpg,3072,2304,0,128,3072,2176,3000,2000,300,JPEG,152.561,156.965,median,156.965,97.132,0.618813,0.771288,0.85,True,0.6,0.85,1.2,1.0,129.191,132.96,68.088
pizza39.jpg,212,bandit_212.jpg,1244,1090,0,130,1244,959,3000,2000,300,JPEG,116.918,115.622,median,115.622,97.132,0.840085,0.904051,0.904051,False,0.6,0.85,1.2,1.0,105.2,103.985,68.088
pizza40.jpg,213,bandit_213.jpg,1920,1080,150,0,1770,1080,3000,2000,300,JPEG,115.88,123.984,median,123.984,97.132,0.783424,0.870054,0.870054,False,0.6,0.85,1.2,1.0,100.329,107.346,68.088
pizza41.jpg,214,bandit_214.jpg,3072,2304,0,128,3072,2176,3000,2000,300,JPEG,141.281,142.094,median,142.094,97.132,0.683577,0.810146,0.85,True,0.6,0.85,1.2,1.0,119.611,120.316,68.088
pizza43.jpg,215,bandit_215.jpg,3935,2759,0,68,3935,2691,3000,2000,300,JPEG,101.661,117.827,median,117.827,97.132,0.82436,0.894616,0.894616,False,0.6,0.85,1.2,1.0,90.524,104.886,68.088
pizza44.jpg,216,bandit_216.jpg,900,602,0,1,900,601,3000,2000,300,JPEG,69.146,55.913,median,55.913,97.132,1.737211,1.442327,1.2,True,0.6,0.85,1.2,1.0,82.163,66.702,68.088
pizza46.jpg,217,bandit_217.jpg,962,720,0,39,962,680,3000,2000,300,JPEG,101.967,115.216,median,115.216,97.132,0.843046,0.905827,0.905827,False,0.6,0.85,1.2,1.0,91.888,103.929,68.088
pizza50.jpg,218,bandit_218.jpg,3072,2304,0,128,3072,2176,3000,2000,300,JPEG,115.249,113.075,median,113.075,97.132,0.859007,0.915404,0.915404,False,0.6,0.85,1.2,1.0,105.0,103.03,68.088
pizza8.jpg,219,bandit_219.jpg,1600,1064,2,0,1598,1064,3000,2000,300,JPEG,121.098,119.596,median,119.596,97.132,0.812168,0.887301,0.887301,False,0.6,0.85,1.2,1.0,106.947,105.683,68.088
r1.jpg,220,bandit_220.jpg,3000,2000,0,0,3000,2000,3000,2000,300,JPEG,90.14,81.578,median,81.578,97.132,1.19067,1.114402,1.114402,False,0.6,0.85,1.2,1.0,99.925,90.496,68.088
r2.jpg,221,bandit_221.jpg,3000,2000,0,0,3000,2000,3000,2000,300,JPEG,90.173,96.304,median,96.304,97.132,1.008602,1.005161,1.005161,False,0.6,0.85,1.2,1.0,90.173,96.304,68.088
r3.jpg,222,bandit_222.jpg,3000,2000,0,0,3000,2000,3000,2000,300,JPEG,88.881,68.315,median,68.315,97.132,1.421834,1.2531,1.2,True,0.6,0.85,1.2,1.0,103.655,81.519,68.088
