scenario,n_datasets,n_subjects,true_gamma_setting,mean_recov_r_alpha_pos,sd_recov_r_alpha_pos,mean_est_gamma_alpha_pos,sd_est_gamma_alpha_pos,true_gamma_alpha_pos,gamma_bias_alpha_pos,detect_rate_gamma_alpha_pos,ci_coverage_gamma_alpha_pos,mean_recov_r_alpha_neg,sd_recov_r_alpha_neg,mean_est_gamma_alpha_neg,sd_est_gamma_alpha_neg,true_gamma_alpha_neg,gamma_bias_alpha_neg,detect_rate_gamma_alpha_neg,ci_coverage_gamma_alpha_neg,mean_recov_r_beta,sd_recov_r_beta,mean_est_gamma_beta,sd_est_gamma_beta,true_gamma_beta,gamma_bias_beta,detect_rate_gamma_beta,ci_coverage_gamma_beta,target_recovered_as_largest_gamma_rate
alpha_neg,500,80,0.18,0.787567196,0.047735489,0.005403047,0.082717254,0,0.005403047,0.136,0.864,0.817823754,0.041961593,0.178318245,0.075799711,0.18,-0.001681755,0.782,0.884,0.93155306,0.017609055,0.00254956,0.051296784,0,0.00254956,0.052,0.948,0.862
alpha_pos,500,80,0.18,0.807541467,0.04239029,0.18570369,0.077481462,0.18,0.00570369,0.81,0.866,0.79272027,0.050550265,-0.003185797,0.075046122,0,-0.003185797,0.122,0.878,0.931266854,0.019453808,-0.004452868,0.053531401,0,-0.004452868,0.066,0.934,0.896
beta,500,80,0.18,0.780065127,0.067561151,-0.006313321,0.080758161,0,-0.006313321,0.148,0.852,0.790286983,0.051414343,-0.008774594,0.075396236,0,-0.008774594,0.124,0.876,0.937043849,0.017732611,0.178637045,0.0544906,0.18,-0.001362955,0.92,0.928,0.892
null,500,80,0,0.7845402,0.059894949,0.000250823,0.081031381,0,0.000250823,0.152,0.848,0.795183344,0.064565358,-0.001984656,0.077885937,0,-0.001984656,0.122,0.878,0.930923371,0.019291311,0.003735392,0.053266534,0,0.003735392,0.064,0.936,
