scenario,n_datasets,n_subjects,true_gamma_setting,mean_recov_r_alpha_pos,sd_recov_r_alpha_pos,mean_est_gamma_alpha_pos,sd_est_gamma_alpha_pos,true_gamma_alpha_pos,gamma_bias_alpha_pos,detect_rate_gamma_alpha_pos,ci_coverage_gamma_alpha_pos,mean_recov_r_alpha_neg,sd_recov_r_alpha_neg,mean_est_gamma_alpha_neg,sd_est_gamma_alpha_neg,true_gamma_alpha_neg,gamma_bias_alpha_neg,detect_rate_gamma_alpha_neg,ci_coverage_gamma_alpha_neg,mean_recov_r_beta,sd_recov_r_beta,mean_est_gamma_beta,sd_est_gamma_beta,true_gamma_beta,gamma_bias_beta,detect_rate_gamma_beta,ci_coverage_gamma_beta,target_recovered_as_largest_gamma_rate
alpha_neg,120,200,0.18,0.789777644,0.023453887,0.004339655,0.053169739,0,0.004339655,0.125,0.875,0.819927271,0.027928139,0.179166271,0.053755646,0.18,-0.000833729,0.975,0.816666667,0.932444353,0.012223786,-0.003917038,0.031976825,0,-0.003917038,0.041666667,0.958333333,0.983333333
alpha_pos,120,200,0.18,0.810267019,0.027059864,0.179852592,0.050260729,0.18,-0.000147408,0.991666667,0.883333333,0.802191499,0.031789304,0.003939829,0.049322736,0,0.003939829,0.075,0.925,0.932205388,0.012309224,-0.002799656,0.034366272,0,-0.002799656,0.108333333,0.891666667,1
beta,120,200,0.18,0.787119085,0.032686929,0.008964433,0.045365303,0,0.008964433,0.108333333,0.891666667,0.795463389,0.030321551,-0.007361456,0.049702899,0,-0.007361456,0.125,0.875,0.936637173,0.012669495,0.178709053,0.039429653,0.18,-0.001290947,1,0.883333333,0.991666667
null,120,200,0,0.787666364,0.028714183,-0.002625529,0.047706746,0,-0.002625529,0.1,0.9,0.797374315,0.029783951,0.010120846,0.0456598,0,0.010120846,0.091666667,0.908333333,0.931989015,0.011625304,0.00366063,0.032554753,0,0.00366063,0.066666667,0.933333333,
