scenario,n_datasets,n_subjects,true_gamma_setting,mean_recov_r_alpha_pos,sd_recov_r_alpha_pos,mean_est_gamma_alpha_pos,sd_est_gamma_alpha_pos,true_gamma_alpha_pos,gamma_bias_alpha_pos,detect_rate_gamma_alpha_pos,ci_coverage_gamma_alpha_pos,mean_recov_r_alpha_neg,sd_recov_r_alpha_neg,mean_est_gamma_alpha_neg,sd_est_gamma_alpha_neg,true_gamma_alpha_neg,gamma_bias_alpha_neg,detect_rate_gamma_alpha_neg,ci_coverage_gamma_alpha_neg,mean_recov_r_beta,sd_recov_r_beta,mean_est_gamma_beta,sd_est_gamma_beta,true_gamma_beta,gamma_bias_beta,detect_rate_gamma_beta,ci_coverage_gamma_beta,target_recovered_as_largest_gamma_rate
alpha_neg,300,50,0.1,0.7767768174665068,0.08893648713150167,2.365403682446384e-05,0.10340229007948237,0.0,2.365403682446384e-05,0.14666666666666667,0.8533333333333334,0.7973076514213506,0.061269822155528994,0.09992882721662377,0.09347492999726041,0.1,-7.117278337623323e-05,0.32,0.87,0.9331681421744239,0.022311890547586876,-0.001786218214590625,0.07015315212742995,0.0,-0.001786218214590625,0.08333333333333333,0.9166666666666666,0.5233333333333333
alpha_pos,300,50,0.1,0.7805408720012509,0.09354852884142735,0.09556098558165516,0.09773969029417633,0.1,-0.00443901441834485,0.31,0.87,0.7905136719497078,0.060021545679008304,-0.007327963770411678,0.09622649282344681,0.0,-0.007327963770411678,0.13333333333333333,0.8666666666666667,0.9300856598677186,0.022107304212472555,-0.006180783264726125,0.06573976298285146,0.0,-0.006180783264726125,0.06333333333333334,0.9366666666666666,0.5133333333333333
beta,300,50,0.1,0.7793233346504859,0.07932018279636473,0.0018341317151946894,0.10681054364364778,0.0,0.0018341317151946894,0.16666666666666666,0.8333333333333334,0.7821185020259317,0.08261333528048491,0.0012428162281033133,0.09729748634947964,0.0,0.0012428162281033133,0.14333333333333334,0.8566666666666667,0.9324559452903096,0.021994358892349145,0.09621420585016151,0.0732438421926683,0.1,-0.003785794149838498,0.33666666666666667,0.8933333333333333,0.43
null,300,50,0.0,0.7817228842382953,0.08085948061156747,-0.018106646952550442,0.10167005663743763,0.0,-0.018106646952550442,0.16333333333333333,0.8366666666666667,0.7879624414454625,0.06331666250084426,0.0034112630377444195,0.0901107411745249,0.0,0.0034112630377444195,0.09333333333333334,0.9066666666666666,0.9325967454658297,0.0208375059708357,-0.004140770893821694,0.06386649438313713,0.0,-0.004140770893821694,0.07,0.93,
