scenario,n_datasets,n_subjects,true_gamma_setting,mean_recov_r_alpha_pos,sd_recov_r_alpha_pos,mean_est_gamma_alpha_pos,sd_est_gamma_alpha_pos,true_gamma_alpha_pos,gamma_bias_alpha_pos,detect_rate_gamma_alpha_pos,ci_coverage_gamma_alpha_pos,mean_recov_r_alpha_neg,sd_recov_r_alpha_neg,mean_est_gamma_alpha_neg,sd_est_gamma_alpha_neg,true_gamma_alpha_neg,gamma_bias_alpha_neg,detect_rate_gamma_alpha_neg,ci_coverage_gamma_alpha_neg,mean_recov_r_beta,sd_recov_r_beta,mean_est_gamma_beta,sd_est_gamma_beta,true_gamma_beta,gamma_bias_beta,detect_rate_gamma_beta,ci_coverage_gamma_beta,target_recovered_as_largest_gamma_rate
alpha_neg,500,80,0.15,0.787819648,0.046801095,0.004102269,0.082801506,0,0.004102269,0.132,0.868,0.811858745,0.044171741,0.147949109,0.075768035,0.15,-0.002050891,0.658,0.888,0.931651841,0.01758855,0.002734387,0.050655782,0,0.002734387,0.054,0.946,0.786
alpha_pos,500,80,0.15,0.801368432,0.044034673,0.155625168,0.077053844,0.15,0.005625168,0.69,0.874,0.792993658,0.04948773,-0.004954489,0.075549735,0,-0.004954489,0.122,0.878,0.931343661,0.019738567,-0.003930495,0.053795921,0,-0.003930495,0.078,0.922,0.834
beta,500,80,0.15,0.78443878,0.060282363,-0.006587259,0.082105044,0,-0.006587259,0.162,0.838,0.790548923,0.050704659,-0.008389992,0.075247724,0,-0.008389992,0.118,0.882,0.935152555,0.018043333,0.148549072,0.05485996,0.15,-0.001450928,0.832,0.918,0.816
null,500,80,0,0.7845402,0.059894949,0.000250823,0.081031381,0,0.000250823,0.152,0.848,0.795183344,0.064565358,-0.001984656,0.077885937,0,-0.001984656,0.122,0.878,0.930923371,0.019291311,0.003735392,0.053266534,0,0.003735392,0.064,0.936,
