scenario,n_datasets,n_subjects,true_gamma_setting,mean_recov_r_alpha_pos,sd_recov_r_alpha_pos,mean_est_gamma_alpha_pos,sd_est_gamma_alpha_pos,true_gamma_alpha_pos,gamma_bias_alpha_pos,detect_rate_gamma_alpha_pos,ci_coverage_gamma_alpha_pos,mean_recov_r_alpha_neg,sd_recov_r_alpha_neg,mean_est_gamma_alpha_neg,sd_est_gamma_alpha_neg,true_gamma_alpha_neg,gamma_bias_alpha_neg,detect_rate_gamma_alpha_neg,ci_coverage_gamma_alpha_neg,mean_recov_r_beta,sd_recov_r_beta,mean_est_gamma_beta,sd_est_gamma_beta,true_gamma_beta,gamma_bias_beta,detect_rate_gamma_beta,ci_coverage_gamma_beta,target_recovered_as_largest_gamma_rate
alpha_neg,300,75,0.1,0.7854158224028849,0.051097413063293184,-0.0007900966019486121,0.0777859522776663,0.0,-0.0007900966019486121,0.12333333333333334,0.8766666666666667,0.801209782510218,0.05088871088415017,0.09726973809552178,0.08286816769307331,0.1,-0.002730261904478226,0.39,0.87,0.931126683020996,0.02050666492842559,-0.0035675584466439334,0.054728620529593694,0.0,-0.0035675584466439334,0.06,0.94,0.6333333333333333
alpha_pos,300,75,0.1,0.7955951477762143,0.043758645359716984,0.11152227695206046,0.08002494152544615,0.1,0.011522276952060456,0.4533333333333333,0.8633333333333333,0.7910659409954968,0.05372859142447351,0.0017793061446036245,0.08617044857134204,0.0,0.0017793061446036245,0.17,0.83,0.9317005762499749,0.019545796094489216,-0.004214350072755391,0.057309786089681986,0.0,-0.004214350072755391,0.06666666666666667,0.9333333333333333,0.6533333333333333
beta,300,75,0.1,0.7776501766999633,0.06881686642974949,-0.0005248466148073028,0.07953691722725427,0.0,-0.0005248466148073028,0.15333333333333332,0.8466666666666667,0.7923398590282005,0.04832763802408552,-0.009553138470721948,0.07821896910440249,0.0,-0.009553138470721948,0.12333333333333334,0.8766666666666667,0.9331386309352191,0.01788533756743641,0.10014987782452406,0.055021803906510444,0.1,0.00014987782452405285,0.51,0.9266666666666666,0.5433333333333333
null,300,75,0.0,0.775448957116986,0.06707242011106321,0.0007245387675431484,0.07818157894039687,0.0,0.0007245387675431484,0.12333333333333334,0.8766666666666667,0.7992732488387788,0.05177179116148723,3.94487976898672e-06,0.08043032540013609,0.0,3.94487976898672e-06,0.13,0.87,0.9329221107359975,0.016638322674843223,-0.0012643158761372157,0.05514584244769133,0.0,-0.0012643158761372157,0.06333333333333334,0.9366666666666666,
