scenario,n_datasets,n_subjects,true_gamma_setting,mean_recov_r_alpha_pos,sd_recov_r_alpha_pos,mean_est_gamma_alpha_pos,sd_est_gamma_alpha_pos,true_gamma_alpha_pos,gamma_bias_alpha_pos,detect_rate_gamma_alpha_pos,ci_coverage_gamma_alpha_pos,mean_recov_r_alpha_neg,sd_recov_r_alpha_neg,mean_est_gamma_alpha_neg,sd_est_gamma_alpha_neg,true_gamma_alpha_neg,gamma_bias_alpha_neg,detect_rate_gamma_alpha_neg,ci_coverage_gamma_alpha_neg,mean_recov_r_beta,sd_recov_r_beta,mean_est_gamma_beta,sd_est_gamma_beta,true_gamma_beta,gamma_bias_beta,detect_rate_gamma_beta,ci_coverage_gamma_beta,target_recovered_as_largest_gamma_rate
alpha_neg,500,100,0.15,0.787328460610087,0.0397151851112179,-0.00027445732759097673,0.06799442228534967,0.0,-0.00027445732759097673,0.122,0.878,0.8081594924469409,0.0430792488724709,0.15227776853039302,0.06854121724689742,0.15,0.0022777685303930206,0.724,0.894,0.9320926420265234,0.016712047637745496,0.0005095437088021348,0.0484176774878459,0.0,0.0005095437088021348,0.062,0.938,0.868
alpha_pos,500,100,0.15,0.805752889273944,0.036695279391538715,0.14850003150622756,0.06564649658179181,0.15,-0.00149996849377243,0.738,0.9,0.7954887313622906,0.04751898167886931,-0.0011427933888615534,0.07013642260351881,0.0,-0.0011427933888615534,0.13,0.87,0.9306990828621781,0.017319132849634104,-6.914836624251719e-05,0.04514375593507224,0.0,-6.914836624251719e-05,0.048,0.952,0.854
beta,500,100,0.15,0.7842381008792922,0.04179325967702887,-0.002437557631243762,0.06962094308474095,0.0,-0.002437557631243762,0.12,0.88,0.790289383566442,0.04625766993202885,-0.007677837306201372,0.069666504128272,0.0,-0.007677837306201372,0.15,0.85,0.935589828803772,0.016445339072664378,0.15330078908864178,0.050529974137274204,0.15,0.0033007890886417868,0.886,0.92,0.852
null,500,100,0.0,0.7876037658755968,0.04239371496508484,-0.001036063747708814,0.07132381935091393,0.0,-0.001036063747708814,0.142,0.858,0.7921962289771511,0.042464572035629214,0.0015254804513744344,0.06979548672334865,0.0,0.0015254804513744344,0.128,0.872,0.9321219797898253,0.01599132305651318,-0.00023882583342469288,0.04837622653615992,0.0,-0.00023882583342469288,0.07,0.93,
