scenario,dataset,recov_r_alpha_pos,est_gamma_alpha_pos,se_gamma_alpha_pos,ci_excludes0_alpha_pos,true_gamma_alpha_pos,ci_covers_true_alpha_pos,recov_r_alpha_neg,est_gamma_alpha_neg,se_gamma_alpha_neg,ci_excludes0_alpha_neg,true_gamma_alpha_neg,ci_covers_true_alpha_neg,recov_r_beta,est_gamma_beta,se_gamma_beta,ci_excludes0_beta,true_gamma_beta,ci_covers_true_beta,largest_gamma_param,target_is_largest
alpha_pos,0,0.7642608613651111,0.22000286507002376,0.08489290620111256,1,0.1,1,0.8246800570196396,0.0544210856545453,0.09748429846159938,0,0.0,1,0.8990318722927274,-0.05183178027007096,0.05592678959750786,0,0.0,1,alpha_pos,1.0
alpha_pos,1,0.6765838569261016,0.0039675931151687835,0.04781984658203853,0,0.1,0,0.7592421376504086,0.07221402706134165,0.06306433736732131,0,0.0,1,0.9250130087970811,-0.01634609002195983,0.06514769430832222,0,0.0,1,alpha_neg,0.0
alpha_pos,2,0.7704908065523918,0.24260196112790652,0.053249619023817356,1,0.1,0,0.8472811693723393,-0.05173339947210439,0.06977643658532935,0,0.0,1,0.9608547678640478,-0.024416934131735905,0.07215454308104818,0,0.0,1,alpha_pos,1.0
alpha_pos,3,0.8568136390123156,0.052238065177568495,0.08073835057670693,0,0.1,1,0.760579868478004,0.1452831829979895,0.06616186220551984,1,0.0,0,0.9170437301736726,-0.009916862903927697,0.05045811557173286,0,0.0,1,alpha_neg,0.0
alpha_pos,4,0.8170919455878234,0.14799615094050084,0.07547697797380912,1,0.1,1,0.6895965732475166,-0.06557476718870202,0.05295782392546411,0,0.0,1,0.9495897513435125,-0.0036158283933731424,0.05633858480549033,0,0.0,1,alpha_pos,1.0
alpha_pos,5,0.7909056803986559,0.026432015997703437,0.08015691871764567,0,0.1,1,0.849635990833519,-0.035379677782763685,0.0735409399240109,0,0.0,1,0.9289306571034374,0.032604133739618145,0.060055259249001326,0,0.0,1,alpha_neg,0.0
alpha_pos,6,0.8373461184546069,0.06705373335278479,0.07696279738765584,0,0.1,1,0.8078232607909251,-0.0996541352748765,0.08749141888058845,0,0.0,1,0.9147043205336893,0.002794928921413254,0.05571552397375213,0,0.0,1,alpha_neg,0.0
alpha_pos,7,0.8264781994988346,0.22842612590895356,0.08038397865721131,1,0.1,1,0.8545558516125329,-0.1875834355780719,0.09049733561961416,1,0.0,0,0.9244543633403275,-0.01615205426289444,0.055647931429953966,0,0.0,1,alpha_pos,1.0
alpha_pos,8,0.7939425040755321,0.19294295219500307,0.05943536593311093,1,0.1,1,0.8083745394583702,0.008939387215887119,0.07445192441433725,0,0.0,1,0.9360031311254751,-0.08532411931605254,0.058425303488652554,0,0.0,1,alpha_pos,1.0
alpha_pos,9,0.7602342138218785,0.03871845871816046,0.06285543440759583,0,0.1,1,0.7861766915535343,-0.05591575917852499,0.07159871172676181,0,0.0,1,0.9306016256245971,0.02556787354913045,0.05770387608900901,0,0.0,1,alpha_neg,0.0
alpha_pos,10,0.7534754399460885,0.09662847279520619,0.0881435828261344,0,0.1,1,0.7547130949616285,0.029112320207211786,0.07755901212029478,0,0.0,1,0.8955125658959282,-0.01529138595349925,0.04793552839007493,0,0.0,1,alpha_pos,1.0
alpha_pos,11,0.6576973151481744,0.15993907511981773,0.0809562309382726,1,0.1,1,0.8016644541738525,0.015471569114488073,0.08081541910201766,0,0.0,1,0.9194510496036338,-0.02150110051742355,0.051684909271037596,0,0.0,1,alpha_pos,1.0
alpha_pos,12,0.8411565537869379,0.14903029312584232,0.09412957241292322,0,0.1,1,0.804086723408733,0.1202423786800384,0.11455344098889926,0,0.0,1,0.9241417262015635,0.04150662162714979,0.044590083290774817,0,0.0,1,alpha_pos,1.0
alpha_pos,13,0.7319844274756862,0.039456739928286064,0.06081642230169485,0,0.1,1,0.9130939481375149,-0.05445399398329015,0.10098706964078262,0,0.0,1,0.9284606267342816,0.1124307719924325,0.06616620672572426,0,0.0,1,beta,0.0
alpha_pos,14,0.8247306341388303,0.11472506098479474,0.06147408439586566,0,0.1,1,0.7783386350303093,-0.039920595179911866,0.05693832667933106,0,0.0,1,0.9295257918811385,0.05491650503662833,0.05775958813718026,0,0.0,1,alpha_pos,1.0
alpha_pos,15,0.5471610431876325,-0.004643515238985401,0.06087975931279547,0,0.1,1,0.7862899059155186,-0.0640568627902132,0.08979331705495106,0,0.0,1,0.9350939039982055,-0.007247327387803108,0.06046225131708388,0,0.0,1,alpha_neg,0.0
alpha_pos,16,0.7452407770436305,-0.009893244873204799,0.06450732177615773,0,0.1,1,0.7310858010442711,0.011327533586913149,0.072121635336452,0,0.0,1,0.9499187767680831,0.038310960288156184,0.0635587239402113,0,0.0,1,beta,0.0
alpha_pos,17,0.8478090254414071,0.20168560226141208,0.06902055080282812,1,0.1,1,0.7936898779835108,-0.052716746333917784,0.06653043713532675,0,0.0,1,0.8660497874487646,0.01588107118338711,0.06979635818487767,0,0.0,1,alpha_pos,1.0
alpha_pos,18,0.7993712482542288,0.18496937910046166,0.06582396517957481,1,0.1,1,0.8344996401818101,-0.10284573331738024,0.0734126170403367,0,0.0,1,0.967311350475414,-0.018031845369334564,0.0631477434396076,0,0.0,1,alpha_pos,1.0
alpha_pos,19,0.7544796656109594,0.12003288245837622,0.060588358619289615,1,0.1,1,0.8090982318250521,-0.07341778299352127,0.06351502587863622,0,0.0,1,0.9240572913941496,0.020771499925229878,0.0676758463151713,0,0.0,1,alpha_pos,1.0
alpha_pos,20,0.7674824701910846,0.06771741022774648,0.07260753414317159,0,0.1,1,0.7580267005991246,0.10828024891440849,0.07232159818807678,0,0.0,1,0.9404180610684956,0.010096437246546996,0.06199916709812651,0,0.0,1,alpha_neg,0.0
alpha_pos,21,0.6348263631499653,0.023568464820917023,0.07046228847535504,0,0.1,1,0.8058832424958645,0.03530896210149362,0.07994444953709767,0,0.0,1,0.9094329429733358,0.08779603955280171,0.06171149044014139,0,0.0,1,beta,0.0
alpha_pos,22,0.6894921224360947,0.04790625708994571,0.06517727090280893,0,0.1,1,0.7356062894762034,0.025939520340488062,0.07538825564710276,0,0.0,1,0.9175811145332113,-0.05796961563876044,0.052437186427798106,0,0.0,1,beta,0.0
alpha_pos,23,0.8263608675300651,0.26437102948670643,0.06917573250257952,1,0.1,0,0.8853979965577804,0.07545519862565704,0.09955208202572083,0,0.0,1,0.9251748557923216,0.043651917389843815,0.05243381722172557,0,0.0,1,alpha_pos,1.0
alpha_pos,24,0.7515344188123028,0.006690392762245091,0.06673110656099007,0,0.1,1,0.8627511453815199,-0.20369199164933688,0.08939585121758395,1,0.0,0,0.9551384779248591,0.04340355015087069,0.06703130949210616,0,0.0,1,alpha_neg,0.0
alpha_pos,25,0.8358306180673534,0.000948862702935597,0.09792540654136475,0,0.1,1,0.8314986608738746,0.21180128696022227,0.08166224687380014,1,0.0,0,0.9585188924260691,0.007701464688119148,0.05774971726278028,0,0.0,1,alpha_neg,0.0
