scenario,dataset,recov_r_alpha_pos,est_gamma_alpha_pos,se_gamma_alpha_pos,ci_excludes0_alpha_pos,true_gamma_alpha_pos,ci_covers_true_alpha_pos,recov_r_alpha_neg,est_gamma_alpha_neg,se_gamma_alpha_neg,ci_excludes0_alpha_neg,true_gamma_alpha_neg,ci_covers_true_alpha_neg,recov_r_beta,est_gamma_beta,se_gamma_beta,ci_excludes0_beta,true_gamma_beta,ci_covers_true_beta,largest_gamma_param,target_is_largest
alpha_pos,0,0.7998058701154774,0.2082437064126111,0.03506613635379421,1,0.18,1,0.7827498166485589,0.04987414655486117,0.04296054677705658,0,0.0,1,0.9330195063105632,-0.050263156256517325,0.03371638171279927,0,0.0,1,alpha_pos,1.0
alpha_pos,1,0.8147283662683654,0.2144453567206759,0.041036140417512246,1,0.18,1,0.8352368556090375,-0.05181916550514578,0.04353927169476162,0,0.0,1,0.911089802179017,-0.026514531706567618,0.03474968879851746,0,0.0,1,alpha_pos,1.0
alpha_pos,2,0.8640316765455521,0.22558671036665445,0.042578721967268016,1,0.18,1,0.7930868952670773,0.009521175820807533,0.03620572574672595,0,0.0,1,0.9363583528022961,0.014084516910673181,0.031760878603565794,0,0.0,1,alpha_pos,1.0
alpha_pos,3,0.8001178355092505,0.14582075234894654,0.03958781604128286,1,0.18,1,0.7671174915037328,0.05724799156406864,0.03813309289946581,0,0.0,1,0.9306541834605584,0.06921045922949665,0.029139431731375558,1,0.0,0,alpha_pos,1.0
alpha_pos,4,0.8071497624791082,0.2483874255211916,0.03537933311983691,1,0.18,1,0.7840585844436434,-0.016501114767383952,0.035600250162001884,0,0.0,1,0.9142774347837728,-0.018841552007345986,0.0326142551209827,0,0.0,1,alpha_pos,1.0
alpha_pos,5,0.8282145684077562,0.12210533683113224,0.03836798080269438,1,0.18,1,0.8300343307506072,0.048271813866724564,0.037810513663241146,0,0.0,1,0.9413201030952715,-0.015073092294673116,0.030479797349890748,0,0.0,1,alpha_pos,1.0
alpha_pos,6,0.8168609707234714,0.12376354685709949,0.04051314804726023,1,0.18,1,0.8246809960136419,-0.024956144046058663,0.03785919732669365,0,0.0,1,0.9356767169249554,0.03346016676488295,0.030436297547263874,0,0.0,1,alpha_pos,1.0
alpha_pos,7,0.8046684922533158,0.18440186085272384,0.04308446175690618,1,0.18,1,0.8276907117489872,-0.052317275964111426,0.040637203173849515,0,0.0,1,0.9234322243372204,-0.020101969826418507,0.03106180780825553,0,0.0,1,alpha_pos,1.0
alpha_pos,8,0.8453388104336765,0.10836193042274174,0.039140510686443426,1,0.18,1,0.8469914608972035,0.06449541496059445,0.040205685569023486,0,0.0,1,0.9345308060579772,0.005100659678833276,0.030692778061966557,0,0.0,1,alpha_pos,1.0
alpha_pos,9,0.8392915934545159,0.15592482152155254,0.0368450209438407,1,0.18,1,0.8041475709238799,0.13280915931607304,0.038792649184154475,1,0.0,0,0.9383058901152175,-0.02000491002948194,0.03355507376406328,0,0.0,1,alpha_pos,1.0
alpha_pos,10,0.824895361824215,0.12605637045903953,0.04389835840867014,1,0.18,1,0.805060861473632,-0.03522908553587789,0.041066865827440034,0,0.0,1,0.9035091175046512,0.040717753378656754,0.030908225079288726,0,0.0,1,alpha_pos,1.0
alpha_pos,11,0.8361060910063586,0.13883156788803971,0.04046509834147499,1,0.18,1,0.8366801827096031,-0.043729494374962916,0.03926020033600799,0,0.0,1,0.9443983949786917,-0.02909843943560771,0.030363969100243745,0,0.0,1,alpha_pos,1.0
alpha_pos,12,0.773829012997722,0.1808889449364372,0.03089152529920173,1,0.18,1,0.7710351700658477,0.045235270167794106,0.0409046954423498,0,0.0,1,0.9321077227367816,-0.06497703927261658,0.029627506776540673,1,0.0,0,alpha_pos,1.0
alpha_pos,13,0.8735227631318598,0.1544068941630147,0.041897788247743484,1,0.18,1,0.8175781657934236,0.05675139461473842,0.03623528768167228,0,0.0,1,0.9468099654738953,-0.002494467985503233,0.031418438171245656,0,0.0,1,alpha_pos,1.0
alpha_pos,14,0.8328773560746779,0.17761434051960706,0.038601377264366375,1,0.18,1,0.8523528508316562,0.045652111746488255,0.04190566736754976,0,0.0,1,0.930067156341889,-0.015907786569365187,0.02917360857938874,0,0.0,1,alpha_pos,1.0
alpha_pos,15,0.8204249581025228,0.16312454222994188,0.03887225789081964,1,0.18,1,0.8169878381529604,0.0004632123074910837,0.03654900876362009,0,0.0,1,0.9310501117925488,0.04524326015154859,0.03169290553973368,0,0.0,1,alpha_pos,1.0
alpha_pos,16,0.8306052757976068,0.1873180830180309,0.038205222102013985,1,0.18,1,0.7745918095116802,0.05328801586123094,0.036505604318005515,0,0.0,1,0.9462523763068034,0.006254067288130564,0.03320041986234216,0,0.0,1,alpha_pos,1.0
alpha_pos,17,0.8483213195330859,0.21360521831902649,0.044699371554384804,1,0.18,1,0.8295191339407888,0.052619900364488256,0.04155659039716677,0,0.0,1,0.9079121650366354,0.014711760359392617,0.029833278969777458,0,0.0,1,alpha_pos,1.0
alpha_pos,18,0.7847397973527759,0.22554667978215878,0.03636645299178736,1,0.18,1,0.8041538047446999,-0.008981077492461277,0.035903440448599486,0,0.0,1,0.9506925587394112,0.020176098452805054,0.035425521405030906,0,0.0,1,alpha_pos,1.0
alpha_pos,19,0.8080022602862352,0.16300134571430272,0.03541444870631564,1,0.18,1,0.8313600754027037,-0.05846898704614797,0.040612903837421,0,0.0,1,0.9399073187423835,0.02314653322186306,0.030994481827274167,0,0.0,1,alpha_pos,1.0
alpha_pos,20,0.7826006994438804,0.13860096369066158,0.03721967938054766,1,0.18,1,0.8192819346017431,-0.006054599564231329,0.040108927555525475,0,0.0,1,0.9279460006663354,-0.03519317201660422,0.029411821051583478,0,0.0,1,alpha_pos,1.0
alpha_pos,21,0.7920059100518771,0.1776573074132835,0.032310614454277034,1,0.18,1,0.7954227870266628,-0.06826851782594269,0.0388542619572751,0,0.0,1,0.9481899608675407,-0.028501766038335534,0.03203576394229543,0,0.0,1,alpha_pos,1.0
alpha_pos,22,0.8112219739727519,0.09860850756859511,0.04105178023957103,1,0.18,0,0.812206749000724,-0.0595922710247005,0.03805118911446656,0,0.0,1,0.9467849501836582,-0.03154326755281446,0.03130201509257586,0,0.0,1,alpha_pos,1.0
alpha_pos,23,0.8495519226678165,0.2916973756615609,0.04415612828859431,1,0.18,0,0.8136688402225437,0.09044971990524096,0.04105803121936622,1,0.0,0,0.9041014552321514,-0.04561790876849781,0.030894540642281726,0,0.0,1,alpha_pos,1.0
