scenario,dataset,recov_r_alpha_pos,est_gamma_alpha_pos,se_gamma_alpha_pos,ci_excludes0_alpha_pos,true_gamma_alpha_pos,ci_covers_true_alpha_pos,recov_r_alpha_neg,est_gamma_alpha_neg,se_gamma_alpha_neg,ci_excludes0_alpha_neg,true_gamma_alpha_neg,ci_covers_true_alpha_neg,recov_r_beta,est_gamma_beta,se_gamma_beta,ci_excludes0_beta,true_gamma_beta,ci_covers_true_beta,largest_gamma_param,target_is_largest
alpha_pos,0,0.8022413900835742,0.1295940840430664,0.06775179173303611,0,0.1,1,0.7472002812924383,-0.11274757876248596,0.055454753360985126,1,0.0,0,0.9101431441471739,0.019259110947900806,0.05069290941571875,0,0.0,1,alpha_pos,1.0
alpha_pos,1,0.8179172894189738,0.20442919290207154,0.051991251367432656,1,0.1,0,0.7901111887491082,0.016528299098793303,0.05940980271683784,0,0.0,1,0.9286140531537291,-0.03340069835597541,0.04817461501092574,0,0.0,1,alpha_pos,1.0
alpha_pos,2,0.8652982601185916,0.26865333926476637,0.06020872051513616,1,0.1,0,0.834177574780572,-0.19461065568754474,0.060925833571854354,1,0.0,0,0.944487677306584,0.011414653843230498,0.05164596622421016,0,0.0,1,alpha_pos,1.0
alpha_pos,3,0.7662113508168843,0.1350348778615778,0.06428305455371404,1,0.1,1,0.7701186099699563,-0.0800258957085574,0.055307266239356466,0,0.0,1,0.9471604137362943,-0.0006451586672641448,0.048722616220830677,0,0.0,1,alpha_pos,1.0
alpha_pos,4,0.8591193415457488,0.1495345257804253,0.07287770842679743,1,0.1,1,0.7073412857029256,0.06566665004320013,0.04720831331901763,0,0.0,1,0.9071158783631342,0.07146100604320982,0.05894125006613028,0,0.0,1,alpha_pos,1.0
alpha_pos,5,0.6947405426892396,0.08076720070847872,0.0560458272081439,0,0.1,1,0.766327375375587,0.03611967395859963,0.064919580642523,0,0.0,1,0.944601655030538,0.02226319056493211,0.04935983958924809,0,0.0,1,alpha_pos,1.0
alpha_pos,6,0.8380125072833575,0.22407832132540964,0.05534056813275738,1,0.1,0,0.8340395014853265,-0.05599080207188293,0.07120493344956412,0,0.0,1,0.9222865173425507,-0.06273201241687085,0.04830983059714713,0,0.0,1,alpha_pos,1.0
alpha_pos,7,0.7798182361191798,0.1163302419915578,0.06675806704470345,0,0.1,1,0.8450176614042536,0.006880565200426883,0.07357152754393473,0,0.0,1,0.9361797746494878,-0.019750707255903305,0.05280330101545384,0,0.0,1,alpha_pos,1.0
alpha_pos,8,0.8568807666209468,0.2085717661499172,0.0640990118077503,1,0.1,1,0.775975874123352,0.07796830507457275,0.05541335140597004,0,0.0,1,0.9206762941242839,0.007773832686331239,0.04766955696792201,0,0.0,1,alpha_pos,1.0
alpha_pos,9,0.8638191131655149,0.09766514596869663,0.056116528830357414,0,0.1,1,0.7948802596420528,0.01197338598358508,0.0636698576235967,0,0.0,1,0.9269488107370731,-0.06397999234086431,0.05144958617915954,0,0.0,1,alpha_pos,1.0
alpha_pos,10,0.8848470784323371,0.21036215608722356,0.06787721268461522,1,0.1,1,0.7859409585537248,0.047293648504665935,0.05678914651960874,0,0.0,1,0.9519616677505306,-0.06993406711186126,0.045445537265771926,0,0.0,1,alpha_pos,1.0
alpha_pos,11,0.8396912723421492,0.18326867487766613,0.065321156312353,1,0.1,1,0.7834003296817696,-0.00590563050170524,0.05717500922254331,0,0.0,1,0.9319611885186952,-0.030266259959685477,0.05389062671774754,0,0.0,1,alpha_pos,1.0
alpha_pos,12,0.8049965182371359,0.16613220022918904,0.07934533999060149,1,0.1,1,0.8429967012597065,-0.0498014684619208,0.06989100489154793,0,0.0,1,0.9352524838825124,-0.002462689679800034,0.050036078652407466,0,0.0,1,alpha_pos,1.0
alpha_pos,13,0.8388229975966058,0.07076781080922381,0.06424160031492496,0,0.1,1,0.7983151245032853,-0.03895779362558604,0.05921218101728131,0,0.0,1,0.9548932177869642,0.072559396196855,0.052644403035045716,0,0.0,1,beta,0.0
alpha_pos,14,0.7793533736721516,0.11070867181468072,0.07704927489424682,0,0.1,1,0.7817837119557655,0.02459934256180529,0.06474830632711014,0,0.0,1,0.9180884222796444,-0.006444243808696599,0.05141641884301723,0,0.0,1,alpha_pos,1.0
alpha_pos,15,0.8270351081677138,0.10068696161055664,0.05890693125027223,0,0.1,1,0.6771863431870304,-0.014207496276237729,0.04841340508327795,0,0.0,1,0.939400478308993,-0.01026957311579283,0.04890306769304654,0,0.0,1,alpha_pos,1.0
alpha_pos,16,0.78233680436503,0.043434054866141464,0.06519510207899286,0,0.1,1,0.7921079436692863,0.049966577641436985,0.05218206638409691,0,0.0,1,0.9098642206300431,0.03636771948355221,0.050571189475309475,0,0.0,1,alpha_neg,0.0
alpha_pos,17,0.8456159494103505,0.207560731742682,0.06538685290830995,1,0.1,1,0.8279665074169791,-0.004998801592306186,0.06688802043645005,0,0.0,1,0.9552324768273243,0.05866560042622369,0.04970580503972715,0,0.0,1,alpha_pos,1.0
alpha_pos,18,0.8268249509360615,0.0514403188325732,0.06126758014902738,0,0.1,1,0.8489370182529106,-0.12505799998448278,0.05301221522183222,1,0.0,0,0.9584063930045522,-0.022017874465625205,0.048169588391108,0,0.0,1,alpha_neg,0.0
alpha_pos,19,0.8654933004590702,0.11918051368488955,0.06366343997476206,0,0.1,1,0.7781963166171414,0.05802960253201093,0.05982395087627144,0,0.0,1,0.95719914347159,-0.07329013755488255,0.05804442706899383,0,0.0,1,alpha_pos,1.0
alpha_pos,20,0.7745305758445189,0.2119122116825509,0.06422194626988123,1,0.1,1,0.6962764445600885,0.022424257463959586,0.06381114441284688,0,0.0,1,0.9447013299637703,-0.038074113037220914,0.05366746731758983,0,0.0,1,alpha_pos,1.0
alpha_pos,21,0.8742498708997944,0.1039610364425224,0.06383920751233071,0,0.1,1,0.8081112803497673,0.282672611753507,0.06753975483381466,1,0.0,0,0.9326560147722819,-0.0835228426546305,0.050525746373474,0,0.0,1,alpha_neg,0.0
alpha_pos,22,0.7787597688410053,-0.05401358597275293,0.07124952112233338,0,0.1,0,0.8281542079898022,-0.0019761060140290345,0.06411010987038716,0,0.0,1,0.9280822057788379,-0.0953800831780962,0.059707520374141565,0,0.0,1,beta,0.0
alpha_pos,23,0.8023926253335086,-0.05847378569693972,0.06460455775641188,0,0.1,0,0.7970905007884784,-0.089472642363143,0.06198779293356507,0,0.0,1,0.9329576830153382,0.12397197943937734,0.06204911708765361,1,0.0,0,beta,0.0
alpha_pos,24,0.7038022766459014,0.16058133028027585,0.05568864589633905,1,0.1,1,0.8393438272820286,0.04400245984315209,0.06208331497771135,0,0.0,1,0.9379418847743464,-0.17255454372993922,0.04541045290665926,1,0.0,0,beta,0.0
alpha_pos,25,0.8354659060608848,0.2154205372965831,0.07858678491277203,1,0.1,1,0.7639174050881068,-0.020890707120527322,0.07008922393379272,0,0.0,1,0.8879308874287234,-0.05334757838116075,0.042346030788496816,0,0.0,1,alpha_pos,1.0
alpha_pos,26,0.8013510808128104,0.11555638266359813,0.06483505826595229,0,0.1,1,0.8565843095173173,0.12296253947216089,0.06782491262722444,0,0.0,1,0.9452267520603593,-0.03257312903077541,0.04789584606386271,0,0.0,1,alpha_neg,0.0
alpha_pos,27,0.815745673272366,0.1622703046792458,0.06091998477800322,1,0.1,1,0.7313119126696973,0.10100403746590385,0.06610902208222165,0,0.0,1,0.940335496045747,0.017988440265535435,0.05746525802515601,0,0.0,1,alpha_pos,1.0
alpha_pos,28,0.7992518166406315,0.17581927026476216,0.06684045818826514,1,0.1,1,0.7786955238125788,-0.13732633996565488,0.06217784939464911,1,0.0,0,0.9467549683525743,-0.04891829531749882,0.05515794281166465,0,0.0,1,alpha_pos,1.0
alpha_pos,29,0.8277278719623938,0.11886672074981773,0.06339699243078269,0,0.1,1,0.886165434091432,-0.09114032513445486,0.06267119743591905,0,0.0,1,0.9313237722055498,-0.0525629170667268,0.050335297767841757,0,0.0,1,alpha_pos,1.0
alpha_pos,30,0.8069255363247657,0.08718959988608074,0.07236391685221472,0,0.1,1,0.7351539731194762,0.05777842655262148,0.06468152065128624,0,0.0,1,0.9335466149941404,0.06650652446975756,0.04956658067862621,0,0.0,1,alpha_pos,1.0
alpha_pos,31,0.759431290772322,0.2675288465211585,0.05318268142260842,1,0.1,0,0.7817499198218076,0.10988339335268876,0.05509637251493314,1,0.0,0,0.9188060644804734,-0.07915668459513658,0.05386989263928293,0,0.0,1,alpha_pos,1.0
alpha_pos,32,0.7355958992172881,0.12180903509387576,0.050785898450200595,1,0.1,1,0.8178380875767817,0.044589058550231146,0.05618763461867457,0,0.0,1,0.9324221115752925,-0.02537464039751137,0.05644472347334652,0,0.0,1,alpha_pos,1.0
alpha_pos,33,0.8135990832132308,0.06943478537187366,0.0785481536848479,0,0.1,1,0.7070506027865519,0.022633618321580264,0.06036734366617764,0,0.0,1,0.9581273357632941,-0.09777325303468437,0.056890465692419796,0,0.0,1,beta,0.0
alpha_pos,34,0.7841188379908873,0.1832628443391248,0.06229915026407695,1,0.1,1,0.8042364525854846,0.018957426886804574,0.06876512514478522,0,0.0,1,0.9114276734611265,-0.04738854869602363,0.040815526527603625,0,0.0,1,alpha_pos,1.0
alpha_pos,35,0.7470165925130159,0.03536540464404932,0.04842752070359955,0,0.1,1,0.6034366714007979,0.04473466517171949,0.05535857805179456,0,0.0,1,0.9531309628780685,-0.07425565461745705,0.05302485849777741,0,0.0,1,beta,0.0
alpha_pos,36,0.8047845313979398,0.0023731545863599816,0.05063754797975302,0,0.1,1,0.771949089955173,-0.13725502627567804,0.07032739969903068,0,0.0,1,0.9246043324429611,-0.013754885965988468,0.04524924198471221,0,0.0,1,alpha_neg,0.0
alpha_pos,37,0.7612041600251856,0.14046933608322526,0.05499037947817613,1,0.1,1,0.8326499272302367,0.16190917655042367,0.06551156169074332,1,0.0,0,0.9252683503869681,-0.07780744124012968,0.04798401260258766,0,0.0,1,alpha_neg,0.0
alpha_pos,38,0.8274610436222458,0.15712090679503382,0.06214052857323977,1,0.1,1,0.7900117958478473,0.09616261108396303,0.07134125515991484,0,0.0,1,0.919120696148069,-0.02563439138399187,0.05466138531615265,0,0.0,1,alpha_pos,1.0
alpha_pos,39,0.8500775559351278,0.09278155975294765,0.07554439283252991,0,0.1,1,0.8138083270691098,-0.007125654866595963,0.05930719951050041,0,0.0,1,0.9537270308631761,0.05212121967035467,0.05196158263783668,0,0.0,1,alpha_pos,1.0
alpha_pos,40,0.8772362158484428,0.25965077334386727,0.06681744350611751,1,0.1,0,0.7872352366824155,0.07633011401555614,0.0599060353457795,0,0.0,1,0.9268518519577246,-0.003386109381645862,0.047132811658536736,0,0.0,1,alpha_pos,1.0
alpha_pos,41,0.8624357537258156,0.13053890953910918,0.08031704058349812,0,0.1,1,0.8357231410618084,-0.17142437487108897,0.06940592119289542,1,0.0,0,0.9510762787699224,-0.06220955469633714,0.05610925015895666,0,0.0,1,alpha_neg,0.0
alpha_pos,42,0.7522883496150086,0.16723769550631343,0.050826746832932757,1,0.1,1,0.8131463160354865,0.020610243576599505,0.061062190997919194,0,0.0,1,0.9124441888519819,0.1124711961044913,0.05258219598420154,1,0.0,0,alpha_pos,1.0
alpha_pos,43,0.7943916541781797,0.10614382426802912,0.06308788771425673,0,0.1,1,0.8417466650240146,-0.006967189898325698,0.06374989416337118,0,0.0,1,0.8807318593071269,-0.003136945784671954,0.04519918074968782,0,0.0,1,alpha_pos,1.0
alpha_pos,44,0.8578666936682966,-0.011091994577393485,0.06580535069077201,0,0.1,1,0.8513552449041171,-0.059124868850160474,0.05337813112091479,0,0.0,1,0.9351832496294546,0.0008803813549977908,0.04328762567380237,0,0.0,1,alpha_neg,0.0
